COMM_NAME,COMM_CODE,COMM_WT,Quarter,Price,Quarter_numeric
Wheat,1101010102,1.02823,Q1_2013,0.49796522382537933,2013.1
Ragi,1101010107,0.00738,Q1_2013,1.0,2013.1
a2. PULSES,1101010200,0.6386,Q1_2013,0.43655197928227896,2013.1
Gram,1101010201,0.26377,Q1_2013,0.5260821309655939,2013.1
Peas/Chawali,1101010206,0.02444,Q1_2013,0.44839067702552726,2013.1
b1. VEGETABLES,1101020100,1.87448,Q1_2013,0.4210136884942657,2013.1
Potato,1101020101,0.27737,Q1_2013,0.6022937476877546,2013.1
Sweet Potato,1101020102,0.02051,Q1_2013,0.0,2013.1
Ginger (Fresh),1101020105,0.02124,Q1_2013,0.9652238253792085,2013.1
Wheat,1101010102,1.02823,Q2_2013,0.20087200249143572,2013.2
Ragi,1101010107,0.00738,Q2_2013,0.44300840859545315,2013.2
a2. PULSES,1101010200,0.6386,Q2_2013,0.1832762379321084,2013.2
Gram,1101010201,0.26377,Q2_2013,0.1829648084708813,2013.2
Peas/Chawali,1101010206,0.02444,Q2_2013,0.3069137340392401,2013.2
b1. VEGETABLES,1101020100,1.87448,Q2_2013,0.3058237309249456,2013.2
Potato,1101020101,0.27737,Q2_2013,0.40859545312986606,2013.2
Sweet Potato,1101020102,0.02051,Q2_2013,0.0,2013.2
Ginger (Fresh),1101020105,0.02124,Q2_2013,1.0,2013.2
Wheat,1101010102,1.02823,Q3_2013,0.14340231909584628,2013.3
Ragi,1101010107,0.00738,Q3_2013,0.3615147512109204,2013.3
a2. PULSES,1101010200,0.6386,Q3_2013,0.10142374871569065,2013.3
Gram,1101010201,0.26377,Q3_2013,0.08058124174372527,2013.3
Peas/Chawali,1101010206,0.02444,Q3_2013,0.26992514310876287,2013.3
b1. VEGETABLES,1101020100,1.87448,Q3_2013,0.45310435931307796,2013.3
Potato,1101020101,0.27737,Q3_2013,0.3552032878320856,2013.3
